tabnak_87620	tabnak_87430	0
tabnak_87620	tabnak_87427	0
tabnak_87620	fardanews_104310	0
tabnak_87620	fardanews_104312	0
tabnak_87620	fardanews_104327	0
tabnak_87620	tabnak_87481	0
tabnak_87620	fardanews_104350	0
tabnak_87620	fardanews_104355	0
tabnak_87620	fardanews_104359	0
tabnak_87620	fardanews_104364	0
tabnak_87620	fardanews_104374	0
tabnak_87620	fardanews_104378	0
tabnak_87620	tabnak_87502	0
tabnak_87620	fardanews_104380	0
tabnak_87620	tabnak_87522	0
tabnak_87620	tabnak_87545	0
tabnak_87620	fardanews_104433	0
tabnak_87620	fardanews_104436	0
tabnak_87620	tabnak_87574	0
tabnak_87620	tabnak_87579	0
tabnak_87620	fardanews_104455	0
tabnak_87620	fardanews_104404	0
tabnak_87620	fardanews_104469	0
tabnak_87620	fardanews_104477	0
tabnak_87632	tabnak_87270	42.8643
tabnak_87632	fardanews_104223	45.812
tabnak_87632	tabnak_87281	54.2395
tabnak_87632	tabnak_87332	46.1482
tabnak_87632	fardanews_104271	_nan
tabnak_87632	tabnak_87369	_nan
tabnak_87632	tabnak_87379	49.9593
tabnak_87632	tabnak_87398	47.7085
tabnak_87632	tabnak_87405	49.3951
tabnak_87632	fardanews_104296	55.5568
tabnak_87632	fardanews_104298	_nan
tabnak_87632	tabnak_87430	_nan
tabnak_87632	tabnak_87427	55.1602
tabnak_87632	fardanews_104310	_nan
tabnak_87632	fardanews_104312	54.3801
tabnak_87632	fardanews_104327	_nan
tabnak_87632	tabnak_87481	52.2724
tabnak_87632	fardanews_104350	56.0221
tabnak_87632	fardanews_104355	_nan
tabnak_87632	fardanews_104359	_nan
tabnak_87632	fardanews_104364	_nan
tabnak_87632	fardanews_104374	_nan
tabnak_87632	fardanews_104378	_nan
tabnak_87632	tabnak_87502	53.8525
tabnak_87632	fardanews_104380	_nan
tabnak_87632	tabnak_87522	_nan
tabnak_87632	tabnak_87545	_nan
tabnak_87632	fardanews_104433	_nan
tabnak_87632	fardanews_104436	_nan
tabnak_87632	tabnak_87574	55.255
tabnak_87632	tabnak_87579	53.7711
tabnak_87632	fardanews_104455	_nan
tabnak_87632	fardanews_104404	_nan
tabnak_87632	fardanews_104469	_nan
tabnak_87632	fardanews_104477	_nan
tabnak_87632	tabnak_87620	_nan
tabnak_87649	tabnak_87270	0
tabnak_87649	fardanews_104223	0
tabnak_87649	tabnak_87281	0
tabnak_87649	tabnak_87332	0
tabnak_87649	fardanews_104271	0
tabnak_87649	tabnak_87369	0
tabnak_87649	tabnak_87379	0
tabnak_87649	tabnak_87398	0
tabnak_87649	tabnak_87405	0
tabnak_87649	fardanews_104296	0
tabnak_87649	fardanews_104298	0
tabnak_87649	tabnak_87430	0
tabnak_87649	tabnak_87427	0
tabnak_87649	fardanews_104310	0
tabnak_87649	fardanews_104312	0
tabnak_87649	fardanews_104327	0
tabnak_87649	tabnak_87481	0
tabnak_87649	fardanews_104350	0
tabnak_87649	fardanews_104355	0
tabnak_87649	fardanews_104359	0
tabnak_87649	fardanews_104364	0
tabnak_87649	fardanews_104374	0
tabnak_87649	fardanews_104378	0
tabnak_87649	tabnak_87502	0
tabnak_87649	fardanews_104380	0
tabnak_87649	tabnak_87522	0
tabnak_87649	tabnak_87545	0
tabnak_87649	fardanews_104433	0
tabnak_87649	fardanews_104436	0
tabnak_87649	tabnak_87574	0
tabnak_87649	tabnak_87579	0
tabnak_87649	fardanews_104455	0
tabnak_87649	fardanews_104404	0
tabnak_87649	fardanews_104469	0
tabnak_87649	fardanews_104477	0
tabnak_87649	tabnak_87620	0
tabnak_87649	tabnak_87632	0
tabnak_87658	tabnak_87270	0
tabnak_87658	fardanews_104223	0
tabnak_87658	tabnak_87281	0
tabnak_87658	tabnak_87332	0
tabnak_87658	fardanews_104271	0
tabnak_87658	tabnak_87369	0
tabnak_87658	tabnak_87379	0
tabnak_87658	tabnak_87398	0
tabnak_87658	tabnak_87405	0
tabnak_87658	fardanews_104296	0
tabnak_87658	fardanews_104298	0
tabnak_87658	tabnak_87430	0
tabnak_87658	tabnak_87427	0
tabnak_87658	fardanews_104310	0
tabnak_87658	fardanews_104312	0
tabnak_87658	fardanews_104327	0
tabnak_87658	tabnak_87481	0
tabnak_87658	fardanews_104350	0
tabnak_87658	fardanews_104355	0
tabnak_87658	fardanews_104359	0
tabnak_87658	fardanews_104364	0
tabnak_87658	fardanews_104374	0
tabnak_87658	fardanews_104378	0
tabnak_87658	tabnak_87502	0
tabnak_87658	fardanews_104380	0
tabnak_87658	tabnak_87522	0
tabnak_87658	tabnak_87545	0
tabnak_87658	fardanews_104433	0
tabnak_87658	fardanews_104436	0
tabnak_87658	tabnak_87574	0
tabnak_87658	tabnak_87579	0
tabnak_87658	fardanews_104455	0
tabnak_87658	fardanews_104404	0
tabnak_87658	fardanews_104469	0
tabnak_87658	fardanews_104477	0
tabnak_87658	tabnak_87620	0
tabnak_87658	tabnak_87632	0
tabnak_87658	tabnak_87649	0
fardanews_104513	tabnak_87270	0
fardanews_104513	fardanews_104223	0
fardanews_104513	tabnak_87281	0
fardanews_104513	tabnak_87332	0
fardanews_104513	fardanews_104271	0
fardanews_104513	tabnak_87369	0
