132885_fardanews,132505_fardanews=50.2234
132885_fardanews,122166_khabaronline=-nan
132885_fardanews,122168_khabaronline=55.149
132885_fardanews,132513_fardanews=53.7527
132885_fardanews,122188_khabaronline=-nan
132885_fardanews,122197_khabaronline=55.1552
132885_fardanews,132531_fardanews=-nan
132885_fardanews,132533_fardanews=56.9687
132885_fardanews,132534_fardanews=50.4208
132885_fardanews,132542_fardanews=-nan
132885_fardanews,122245_khabaronline=-nan
132885_fardanews,122265_khabaronline=53.4607
132885_fardanews,132597_fardanews=-nan
132885_fardanews,132602_fardanews=-nan
132885_fardanews,132614_fardanews=-nan
132885_fardanews,132623_fardanews=-nan
132885_fardanews,132789_fardanews=-nan
132885_fardanews,132862_fardanews=51.8996
132885_fardanews,132863_fardanews=40.06
132923_fardanews,132453_fardanews=50.2896
132923_fardanews,132454_fardanews=53.9241
132923_fardanews,122118_khabaronline=54.2312
132923_fardanews,122126_khabaronline=55.3181
132923_fardanews,122137_khabaronline=55.6858
132923_fardanews,122140_khabaronline=52.3014
132923_fardanews,132475_fardanews=54.3012
132923_fardanews,132477_fardanews=47.6257
132923_fardanews,132479_fardanews=-nan
132923_fardanews,132481_fardanews=53.3592
132923_fardanews,122156_khabaronline=55.0153
132923_fardanews,132482_fardanews=-nan
132923_fardanews,122158_khabaronline=51.4075
132923_fardanews,122160_khabaronline=53.784
132923_fardanews,132500_fardanews=-nan
132923_fardanews,132505_fardanews=55.6919
132923_fardanews,122166_khabaronline=-nan
132923_fardanews,122168_khabaronline=54.5556
132923_fardanews,132513_fardanews=55.2982
132923_fardanews,122188_khabaronline=-nan
132923_fardanews,122197_khabaronline=54.4876
132923_fardanews,132531_fardanews=-nan
132923_fardanews,132533_fardanews=55.9641
132923_fardanews,132534_fardanews=54.4114
132923_fardanews,132542_fardanews=-nan
132923_fardanews,122245_khabaronline=-nan
132923_fardanews,122265_khabaronline=55.2453
132923_fardanews,132597_fardanews=-nan
132923_fardanews,132602_fardanews=-nan
132923_fardanews,132614_fardanews=-nan
132923_fardanews,132623_fardanews=-nan
132923_fardanews,132789_fardanews=-nan
132923_fardanews,132862_fardanews=55.9641
132923_fardanews,132863_fardanews=50.2539
132923_fardanews,132885_fardanews=55.9641
122902_khabaronline,132453_fardanews=38.3347
122902_khabaronline,132454_fardanews=50.3376
122902_khabaronline,122118_khabaronline=38.7952
122902_khabaronline,122126_khabaronline=51.5429
122902_khabaronline,122137_khabaronline=51.8332
122902_khabaronline,122140_khabaronline=48.6827
122902_khabaronline,132475_fardanews=49.2722
122902_khabaronline,132477_fardanews=32.475
122902_khabaronline,132479_fardanews=-nan
122902_khabaronline,132481_fardanews=45.9601
122902_khabaronline,122156_khabaronline=46.2732
122902_khabaronline,132482_fardanews=-nan
122902_khabaronline,122158_khabaronline=45.2689
122902_khabaronline,122160_khabaronline=44.1653
122902_khabaronline,132500_fardanews=-nan
122902_khabaronline,132505_fardanews=50.1961
122902_khabaronline,122166_khabaronline=-nan
122902_khabaronline,122168_khabaronline=50.828
122902_khabaronline,132513_fardanews=54.2872
122902_khabaronline,122188_khabaronline=-nan
122902_khabaronline,122197_khabaronline=46.2633
122902_khabaronline,132531_fardanews=-nan
122902_khabaronline,132533_fardanews=56.4491
122902_khabaronline,132534_fardanews=52.4673
122902_khabaronline,132542_fardanews=-nan
122902_khabaronline,122245_khabaronline=-nan
122902_khabaronline,122265_khabaronline=56.4491
122902_khabaronline,132597_fardanews=-nan
122902_khabaronline,132602_fardanews=-nan
122902_khabaronline,132614_fardanews=-nan
122902_khabaronline,132623_fardanews=-nan
122902_khabaronline,132789_fardanews=-nan
122902_khabaronline,132862_fardanews=52.7746
122902_khabaronline,132863_fardanews=41.9604
122902_khabaronline,132885_fardanews=50.3921
122902_khabaronline,132923_fardanews=53.2123
132986_fardanews,132453_fardanews=0
132986_fardanews,132454_fardanews=0
132986_fardanews,122118_khabaronline=0
132986_fardanews,122126_khabaronline=0
132986_fardanews,122137_khabaronline=0
132986_fardanews,122140_khabaronline=0
132986_fardanews,132475_fardanews=0
132986_fardanews,132477_fardanews=0
132986_fardanews,132479_fardanews=0
132986_fardanews,132481_fardanews=0
132986_fardanews,122156_khabaronline=0
132986_fardanews,132482_fardanews=0
132986_fardanews,122158_khabaronline=0
132986_fardanews,122160_khabaronline=0
132986_fardanews,132500_fardanews=0
132986_fardanews,132505_fardanews=0
132986_fardanews,122166_khabaronline=0
132986_fardanews,122168_khabaronline=0
132986_fardanews,132513_fardanews=0
132986_fardanews,122188_khabaronline=0
132986_fardanews,122197_khabaronline=0
132986_fardanews,132531_fardanews=0
132986_fardanews,132533_fardanews=0
132986_fardanews,132534_fardanews=0
132986_fardanews,132542_fardanews=0
132986_fardanews,122245_khabaronline=0
