tabnak-87620	tabnak-87430	0
tabnak-87620	tabnak-87427	0
tabnak-87620	fardanews-104310	0
tabnak-87620	fardanews-104312	0
tabnak-87620	fardanews-104327	0
tabnak-87620	tabnak-87481	0
tabnak-87620	fardanews-104350	0
tabnak-87620	fardanews-104355	0
tabnak-87620	fardanews-104359	0
tabnak-87620	fardanews-104364	0
tabnak-87620	fardanews-104374	0
tabnak-87620	fardanews-104378	0
tabnak-87620	tabnak-87502	0
tabnak-87620	fardanews-104380	0
tabnak-87620	tabnak-87522	0
tabnak-87620	tabnak-87545	0
tabnak-87620	fardanews-104433	0
tabnak-87620	fardanews-104436	0
tabnak-87620	tabnak-87574	0
tabnak-87620	tabnak-87579	0
tabnak-87620	fardanews-104455	0
tabnak-87620	fardanews-104404	0
tabnak-87620	fardanews-104469	0
tabnak-87620	fardanews-104477	0
tabnak-87632	tabnak-87270	42.8643
tabnak-87632	fardanews-104223	45.812
tabnak-87632	tabnak-87281	54.2395
tabnak-87632	tabnak-87332	46.1482
tabnak-87632	fardanews-104271	-nan
tabnak-87632	tabnak-87369	-nan
tabnak-87632	tabnak-87379	49.9593
tabnak-87632	tabnak-87398	47.7085
tabnak-87632	tabnak-87405	49.3951
tabnak-87632	fardanews-104296	55.5568
tabnak-87632	fardanews-104298	-nan
tabnak-87632	tabnak-87430	-nan
tabnak-87632	tabnak-87427	55.1602
tabnak-87632	fardanews-104310	-nan
tabnak-87632	fardanews-104312	54.3801
tabnak-87632	fardanews-104327	-nan
tabnak-87632	tabnak-87481	52.2724
tabnak-87632	fardanews-104350	56.0221
tabnak-87632	fardanews-104355	-nan
tabnak-87632	fardanews-104359	-nan
tabnak-87632	fardanews-104364	-nan
tabnak-87632	fardanews-104374	-nan
tabnak-87632	fardanews-104378	-nan
tabnak-87632	tabnak-87502	53.8525
tabnak-87632	fardanews-104380	-nan
tabnak-87632	tabnak-87522	-nan
tabnak-87632	tabnak-87545	-nan
tabnak-87632	fardanews-104433	-nan
tabnak-87632	fardanews-104436	-nan
tabnak-87632	tabnak-87574	55.255
tabnak-87632	tabnak-87579	53.7711
tabnak-87632	fardanews-104455	-nan
tabnak-87632	fardanews-104404	-nan
tabnak-87632	fardanews-104469	-nan
tabnak-87632	fardanews-104477	-nan
tabnak-87632	tabnak-87620	-nan
tabnak-87649	tabnak-87270	0
tabnak-87649	fardanews-104223	0
tabnak-87649	tabnak-87281	0
tabnak-87649	tabnak-87332	0
tabnak-87649	fardanews-104271	0
tabnak-87649	tabnak-87369	0
tabnak-87649	tabnak-87379	0
tabnak-87649	tabnak-87398	0
tabnak-87649	tabnak-87405	0
tabnak-87649	fardanews-104296	0
tabnak-87649	fardanews-104298	0
tabnak-87649	tabnak-87430	0
tabnak-87649	tabnak-87427	0
tabnak-87649	fardanews-104310	0
tabnak-87649	fardanews-104312	0
tabnak-87649	fardanews-104327	0
tabnak-87649	tabnak-87481	0
tabnak-87649	fardanews-104350	0
tabnak-87649	fardanews-104355	0
tabnak-87649	fardanews-104359	0
tabnak-87649	fardanews-104364	0
tabnak-87649	fardanews-104374	0
tabnak-87649	fardanews-104378	0
tabnak-87649	tabnak-87502	0
tabnak-87649	fardanews-104380	0
tabnak-87649	tabnak-87522	0
tabnak-87649	tabnak-87545	0
tabnak-87649	fardanews-104433	0
tabnak-87649	fardanews-104436	0
tabnak-87649	tabnak-87574	0
tabnak-87649	tabnak-87579	0
tabnak-87649	fardanews-104455	0
tabnak-87649	fardanews-104404	0
tabnak-87649	fardanews-104469	0
tabnak-87649	fardanews-104477	0
tabnak-87649	tabnak-87620	0
tabnak-87649	tabnak-87632	0
tabnak-87658	tabnak-87270	0
tabnak-87658	fardanews-104223	0
tabnak-87658	tabnak-87281	0
tabnak-87658	tabnak-87332	0
tabnak-87658	fardanews-104271	0
tabnak-87658	tabnak-87369	0
tabnak-87658	tabnak-87379	0
tabnak-87658	tabnak-87398	0
tabnak-87658	tabnak-87405	0
tabnak-87658	fardanews-104296	0
tabnak-87658	fardanews-104298	0
tabnak-87658	tabnak-87430	0
tabnak-87658	tabnak-87427	0
tabnak-87658	fardanews-104310	0
tabnak-87658	fardanews-104312	0
tabnak-87658	fardanews-104327	0
tabnak-87658	tabnak-87481	0
tabnak-87658	fardanews-104350	0
tabnak-87658	fardanews-104355	0
tabnak-87658	fardanews-104359	0
tabnak-87658	fardanews-104364	0
tabnak-87658	fardanews-104374	0
tabnak-87658	fardanews-104378	0
tabnak-87658	tabnak-87502	0
tabnak-87658	fardanews-104380	0
tabnak-87658	tabnak-87522	0
tabnak-87658	tabnak-87545	0
tabnak-87658	fardanews-104433	0
tabnak-87658	fardanews-104436	0
tabnak-87658	tabnak-87574	0
tabnak-87658	tabnak-87579	0
tabnak-87658	fardanews-104455	0
tabnak-87658	fardanews-104404	0
tabnak-87658	fardanews-104469	0
tabnak-87658	fardanews-104477	0
tabnak-87658	tabnak-87620	0
tabnak-87658	tabnak-87632	0
tabnak-87658	tabnak-87649	0
fardanews-104513	tabnak-87270	0
fardanews-104513	fardanews-104223	0
fardanews-104513	tabnak-87281	0
fardanews-104513	tabnak-87332	0
fardanews-104513	fardanews-104271	0
fardanews-104513	tabnak-87369	0
